LP,Year,State,Cost Center,DNT,VIN #,Unit #,Color,Make,Model,Start Date,End Date
HEL7661,2020,NC,5834,3301170145,3N6CM0KN2LK692783,1905,BLACK,NISSAN,NV200,01/01/2021,-
HEM1731,2020,NC,5852,3301170143,3N6CM0KN2LK691908,1903,WHITE,NISSAN,NV200,01/01/2021,-
HES8628,2020,NC,5815,3301170140,3N6CM0KN0LK691681,1502,WHITE,NISSAN,NV200,01/01/2021,-
HES8629,2020,NC,5815,3301170139,3N6CM0KN6LK691314,1501,WHITE,NISSAN,NV200,01/01/2021,-
HHB9420,2020,NC,5815,3301170146,3N6CM0KN2LK699216,1906,WHITE,NISSAN,NV200,01/01/2021,-
HLB1130,2020,NC,9713,3301170147,KNMAT2MT8LP525430,1910,WHITE,NISSAN,ROGUE,01/01/2021,-
HMX7799,2021,NC,5815,-,3N6CM0KN8MK691610,P21005,BLACK,NISSAN,NV200,01/01/2021,-
HMX7835,2021,NC,5819,3301170138,3N6CM0KN9MK690756,P20038,WHITE,NISSAN,NV200,01/01/2021,-
HMZ4315,2019,NC,5815,3301170167,1N6AD0EV6KN721715,2501,BLACK,NISSAN,FRONTIER,01/01/2021,-
JBR5771,2017,NC,5819,-,3N6CM0KN6HK721404,1005,BLACK,NISSAN,NV200,01/01/2021,-
JCA7FB,2020,AZ,5816,-,3N6CM0KN5LK696326,2001,BLACK,NISSAN,NV200,01/01/2021,-
JDC3453,2021,NC,5853,3301163779,3N6CM0KN3MK695208,P21072,WHITE,NISSAN,NV200,01/01/2021,-
JHQ7621,2020,OH,5916,3301170152,KNMAT2MV9LP517824,202015,BLACK,NISSAN,ROGUE,01/01/2021,-
JHT7675,2020,NC,5819,-,3N6CM0KN3LK691528,1902,WHITE,NISSAN,NV200,01/01/2021,-
JTR338,2017,OK,5862,03066593,3N6CM0KN0HK721463,1035AC,WHITE,NISSAN,NV200,01/01/2021,-
KFM5850,2017,TX,5849,-,3N6CM0KN2HK713848,1037,BLACK,NISSAN,NV200,01/01/2021,-
KHX6906,2017,TX,5893,12032898,3N6CM0KN6HK721287,1006,WHITE,NISSAN,NV200,01/01/2021,-
KHX6907,2017,TX,5810,12032916,3N6CM0KN9HK703866,1041,WHITE,NISSAN,NV200,01/01/2021,-
KHX6908,2017,TX,5802,12032917,3N6CM0KN9HK721798,1042,WHITE,NISSAN,NV200,01/01/2021,-
KJB5892,2017,TX,5803,-,3N6CM0KN9HK706069,1009,WHITE,NISSAN,NV200,01/01/2021,-
KJY5506,2017,TX,5802,12032897,3N6CM0KN4HK721014,1002,WHITE,NISSAN,NV200,01/01/2021,-
KKD8331,2017,TX,5928,12032912,3N6CM0KN4HK710580,1031,WHITE,NISSAN,NV200,01/01/2021,-
KKD8333,2017,TX,5803,-,3N6CM0KN8HK721260,1034,WHITE,NISSAN,NV200,01/01/2021,-
KNK6755,2018,TX,5803,12032921,3N6CM0KN6JK690905,1056,BLACK,NISSAN,NV200,01/01/2021,-
KNK6757,2018,TX,5801,12032920,3N6CM0KN3JK693230,1054,BLACK,NISSAN,NV200,01/01/2021,-
KNK6797,2018,TX,5802,12032922,3N6CM0KN7JK693537,1058,BLACK,NISSAN,NV200,01/01/2021,-
KRP5978,2022,NY,9716,3301163816,KL4MMCSL4NB031773,M21067,BLACK,BUICK,ENCORE GX,01/01/2021,-
KRZ8767,2018,TX,5893,12032926,3N6CM0KN3JK693356,1068,BLACK,NISSAN,NV200,01/01/2021,-
KV2745,2021,NC,5819,3301188685,1N6ED0EBXMN714504,P21085,BLACK,NISSAN,FRONTIER,01/01/2021,-
KZW5820,2018,TX,5928,12034689,3N6CM0KN3JK697813,1077,BLACK,NISSAN,NV200,01/01/2021,-
L4A8VC,2021,AZ,5816,-,JN8AT3BAXMW008939,P21077,BLACK,NISSAN,ROGUE,01/01/2021,-
LJW2766,2018,TX,5804,12034693,3N6CM0KN5JK702686,1086,WHITE,NISSAN,NV200,01/01/2021,-
LLA0HF,2018,AZ,5816,-,3N6CM0KN4JK690515,1070AC,WHITE,NISSAN,NV200,01/01/2021,-
LLBN69,2017,FL,5806,3301170108,3N6CM0KN8HK710694,1030,WHITE,NISSAN,NV200,01/01/2021,-
LLG7434,2018,TX,5917,12032934,1N6BF0KM1JN816160,2207,WHITE,NISSAN,NV CARGO NV1500,01/01/2021,-
LRK5863,2017,TX,5803,12032899,3N6CM0KN0HK721561,1008,WHITE,NISSAN,NV200,01/01/2021,-
LST0291,2019,TX,9099,12032935,5N1AT2MT7KC708593,3302,WHITE,NISSAN,ROGUE,01/01/2021,-
LST0298,2019,TX,5804,12032893,1N6BF0KM9KN800340,402,WHITE,NISSAN,NV CARGO NV1500,01/01/2021,-
LST0299,2019,TX,5863,12140524,1N6AD0ER1KN704761,101,WHITE,NISSAN,FRONTIER,01/01/2021,-
LST0301,2019,TX,5893,12032884,1N6DD0ER4KN722071,201,BLACK,NISSAN,FRONTIER,01/01/2021,-
LST0303,2019,TX,5803,12032891,1N6AD0ER5KN712118,301,BLACK,NISSAN,FRONTIER,01/01/2021,-
MLD8593,2019,TX,5863,12032874,3N6CM0KN1KK707711,0103AC,BLACK,NISSAN,NV200,01/01/2021,-
MLD9056,2019,TX,5863,03537432,3N6CM0KN0KK707425,104,WHITE,NISSAN,NV200,01/01/2021,-
MNH4419,2019,TX,5863,12032876,3N6CM0KN0KK709028,107,WHITE,NISSAN,NV200,01/01/2021,-
MNH4420,2019,TX,5801,12032877,3N6CM0KN0KK708994,108,BLACK,NISSAN,NV200,01/01/2021,-
MRN0541,2019,TX,5801,12032878,3N6CM0KN1KK709071,109,BLACK,NISSAN,NV200,01/01/2021,-
MRT7120,2019,TX,5893,12032886,3N6CM0KN4KK710988,203,WHITE,NISSAN,NV200,01/01/2021,-
MRT7122,2019,TX,5893,12032885,3N6CM0KNXKK710932,202,WHITE,NISSAN,NV200,01/01/2021,-
MXR9553,2020,TX,5927,12032880,3N6CM0KN6LK698800,113,BLACK,NISSAN,NV200,01/01/2021,-
MYL1697,2020,TX,5893,12032889,3N6CM0KNXLK699240,205,BLACK,NISSAN,NV200,01/01/2021,-
MYV6496,2020,TX,5847,12032894,3N6CM0KN8LK693565,403,BLACK,NISSAN,NV200,01/01/2021,-
MYX1780,2020,TX,5810,-,KNMAT2MT2LP526525,1207,WHITE,NISSAN,ROGUE,01/01/2021,-
MYX1808,2020,TX,5837,12032895,3N6CM0KN9LK698354,404,WHITE,NISSAN,NV200,01/01/2021,-
MYX1809,2020,TX,5810,-,3N6CM0KN9LK698936,1208,WHITE,NISSAN,NV200,01/01/2021,-
MYX1810,2020,TX,5810,-,3N6CM0KN4LK698813,1209,BLACK,NISSAN,NV200,01/01/2021,-
MZP7472,2020,TX,5918,-,3N6CM0KN7LK699289,115,BLACK,NISSAN,NV200,01/01/2021,-
NBR8895,2020,TX,5803,12032890,3N6CM0KN1LK692077,206,BLACK,NISSAN,NV200,01/01/2021,-
NBV8591,2020,TX,5803,12032939,3N6CM0KNXLK691879,3306,WHITE,NISSAN,NV200,01/01/2021,-
NEZF27,2019,FL,5857,-,1N6BF0KM8KN810115,602,BLACK,NISSAN,NV CARGO NV1500,01/01/2021,-
NFJS31,2020,FL,5807,3301170160,1N6BF0KM7LN801813,2007,BLACK,NISSAN,NV CARGO NV1500,01/01/2021,-
NFWP54,2020,FL,5807,3301170106,1N6BF0KM6LN809157,20206,WHITE,NISSAN,NV CARGO NV1500,01/01/2021,-
NGF1389,2020,TX,5839,12032881,3N6CM0KNXLK698430,114,BLACK,NISSAN,NV200,01/01/2021,-
NGHZ63,2019,FL,5887,3301170103,3N6CM0KNXKK710977,111,WHITE,NISSAN,NV200,01/01/2021,-
NHH1107,2019,TX,5818,12032936,3N1AB7AP5KY402384,3303,BLACK,NISSAN,SENTRA,01/01/2021,-
NLMZ02,2020,FL,5806,3301170107,3N6CM0KN9LK694773,1026,WHITE,NISSAN,NV200,01/01/2021,-
NML9266,2020,TX,9099,12853363,1GNERKKW9LJ250321,99001,WHITE,CHEVROLET,TRAVERSE,01/01/2021,-
NNJN40,2020,FL,5818,02805929,3N6CM0KN9LK694806,701,WHITE,NISSAN,NV200,01/01/2021,-
NNJN41,2020,FL,5806,3301170104,3N6CM0KN3LK694753,601,BLACK,NISSAN,NV200,01/01/2021,-
NNT7793,2021,TX,9099,15111364,5UXCR6C06M9F36696,P21045,BLACK,BMW,X5,01/01/2021,-
NRT3986,2020,TX,5804,-,3N6CM0KNXLK705832,20202,BLACK,NISSAN,NV200,01/01/2021,-
NRV1805,2020,TX,9713,12905384,5N1DR2DN6LC616499,M20100,WHITE,NISSAN,PATHFINDER,01/01/2021,-
NTJ5692,2019,TX,5804,12032859,1N6AD0ER5KN716332,102,BLACK,NISSAN,FRONTIER,01/01/2021,-
NTJ7037,2021,TX,5804,02809659,3N6CM0KN7MK690142,P21002,WHITE,NISSAN,NV200,01/01/2021,-
